#timestamp,left,right,acc_x,acc_y,acc_z,roll,pitch,yaw,event
1568115620288,-188,95,-2292,1713,-16331,30,22,22,0
1568115620295,-171,101,-2342,1655,-16383,34,33,28,0
1568115620310,-164,102,-2309,1700,-16359,36,30,16,0
1568115620317,-165,107,-2274,1680,-16328,31,19,10,0
1568115620326,-165,115,-2243,1679,-16312,22,49,-7,0
1568115620340,-168,119,-2281,1681,-16319,22,50,-10,0
1568115620348,-165,130,-2278,1706,-16283,20,77,-13,0
1568115620357,-162,139,-2296,1631,-16355,33,62,-35,0
1568115620371,-162,142,-2184,1641,-16383,53,34,-27,0
1568115620378,-167,145,-2303,1672,-16404,50,36,-25,0
1568115620386,-166,152,-2285,1580,-16361,66,33,-32,0
1568115620401,-169,157,-2275,1602,-16336,70,29,-12,0
1568115620407,-173,160,-2242,1611,-16419,66,-1,-4,0
1568115620424,-173,166,-2311,1627,-16343,53,-3,9,0
1568115620430,-172,170,-2218,1611,-16346,37,4,19,0
1568115620438,-174,174,-2283,1526,-16271,31,38,26,0
1568115620445,-174,177,-2249,1476,-16267,71,40,45,0
1568115620461,-180,173,-2289,1595,-16233,92,30,75,0
1568115620474,-187,165,-2249,1615,-16341,76,22,101,0
1568115620475,-190,160,-2234,1662,-16342,49,38,98,0
1568115620492,-189,164,-2261,1697,-16419,-2,27,63,0
1568115620498,-199,155,-2245,1684,-16404,-4,50,65,0
1568115620505,-205,148,-2331,1673,-16382,-36,40,23,0
1568115620520,-208,146,-2271,1673,-16425,-67,51,-8,0
1568115620527,-206,154,-2257,1674,-16454,-90,9,-22,0
1568115620541,-204,160,-2277,1644,-16435,-82,-1,-49,0
1568115620553,-199,165,-2287,1677,-16368,-70,-38,-65,0
1568115620557,-202,160,-2223,1640,-16311,-50,-35,-58,0
1568115620570,-211,149,-2290,1625,-16234,-38,-49,-74,0
1568115620580,-220,138,-2184,1644,-16243,-31,-2,-64,0
1568115620588,-218,136,-2321,1640,-16225,-26,22,-45,0
1568115620595,-213,143,-2329,1589,-16257,14,38,-14,0
1568115620610,-215,142,-2279,1591,-16302,33,66,6,0
1568115620623,-221,134,-2261,1605,-16323,61,57,45,0
1568115620625,-224,134,-2320,1652,-16360,61,85,58,0
1568115620641,-225,134,-2243,1658,-16356,51,87,64,0
1568115620649,-220,144,-2231,1674,-16359,40,104,51,0
1568115620655,-217,147,-2233,1617,-16414,33,97,38,0
1568115620674,-214,145,-2228,1629,-16414,36,86,12,0
1568115620677,-214,143,-2338,1609,-16417,27,95,-8,0
1568115620685,-210,144,-2245,1625,-16390,22,82,-41,0
1568115620700,-206,146,-2272,1604,-16441,30,75,-52,0
1568115620707,-205,149,-2217,1624,-16436,-13,66,-73,0
1568115620722,-207,148,-2208,1630,-16285,-8,78,-79,0
1568115620730,-210,144,-2219,1567,-16380,-3,25,-70,0
1568115620738,-211,141,-2247,1542,-16393,2,16,-47,0
1568115620745,-208,144,-2234,1566,-16253,20,8,-26,0
1568115620760,-210,144,-2210,1544,-16253,20,10,-8,0
1568115620768,-211,144,-2245,1606,-16225,15,23,9,0
